model,MAE,RMSE,MAPE,MAPE_coverage,MAE_vs_naive_%
Seasonal naive,470.321,861.621,71.621,100.0,0.0
ARIMA,81.736,123.573,8.717,100.0,82.6
LSTM,64.198,92.905,7.444,100.0,86.4
1D CNN,77.317,116.946,8.133,100.0,83.6
