model,MAE,RMSE,MAPE,MAPE_coverage,MAE_vs_naive_%
Seasonal naive,338.594,619.04,25.94,100.0,0.0
ARIMA,108.361,163.962,10.58,100.0,68.0
LSTM,81.719,125.879,7.564,100.0,75.9
1D CNN,87.028,132.652,8.011,100.0,74.3
