order,aic,bic,seconds
"(2, 0, 2)",-2603.4756571447683,-2563.991269871447,2.634265000000596
"(2, 0, 1)",-2598.566807520966,-2565.663151459865,2.4355766999942716
"(3, 0, 1)",-2598.114956433751,-2558.63056916043,1.614808800004539
"(1, 0, 1)",-2567.7859217816963,-2541.4629969328153,1.4706736999942223
"(3, 0, 0)",-2486.9744504732166,-2454.0707944121154,1.0099602999980561
"(2, 0, 0)",-2234.1144314611315,-2207.7915066122505,0.7251880000112578
"(1, 0, 0)",-1789.3439379851382,-1769.6017443484775,0.27096419999725185
